hhidpn,hhid,pn,ra019,rj005m1,rj005m2,rj005m3,rj005m4,rj005m5,rj020,rp047,rp113,rp150,rp180,rx060_r,rz216,rv550,rv551,rv552,rv553,rv554,rv555,rv556,rv557,rv558,rv559,rv560,rv561,rv562,rv563,rv564,rq021,rq134,rq148,rq316,rq317,rq331,rq345,rq357
13820020,013820,020,82,1,,,,,1,50,2,,,1,17,0,0,80,50,999,50,1,5,9,9,4,5,5,6,99,,,,1,2500000,,40000,
13857020,013857,020,85,6,,,,,5,50,2,,,2,12,,,,,,,,,,,,,,,,,,99999998,5,,9999998,9999999,999999999
13858020,013858,020,79,5,,,,,5,,,,,1,11,,,,,,,,,,,,,,,,,,,8,,,,
13858030,013858,030,77,4,,,,,5,50,2,,,2,12,,,,,,,,,,,,,,,,,,,8,,,,
13899040,013899,040,75,5,,,,,5,50,1,50,50,2,17,,,,,,,,,,,,,,,,,,,5,,,500000,
13899041,013899,041,80,5,,,,,5,50,2,,,1,12,15,15,15,10,50,15,1,8,9,9,8,98,98,8,3,,,,5,,,500000,
13902010,013902,010,86,5,,,,,5,-8,,0,0,1,16,-8,-8,-8,-8,-8,-8,-8,5,-8,-8,-8,-8,-8,-8,-8,,,,5,,,,
13902020,013902,020,85,6,,,,,5,50,1,50,50,2,16,0,0,0,0,0,0,-8,8,8,6,5,6,6,6,2,,,,5,,,,
13912010,013912,010,82,5,,,,,5,60,,75,15,1,10,,,,,,,,,,,,,,,,,,,1,999999998,,9999998,
13912020,013912,020,83,5,,,,,5,60,,60,70,2,12,,,,,,,,,,,,,,,,,,,1,999999998,,9999998,
13916010,013916,010,78,5,,,,,5,100,,70,,1,17,,,,,,,,,,,,,,,,,,,5,,,2000,
13916040,013916,040,74,5,6,,,,5,50,2,,,2,12,,,,,,,,,,,,,,,,,,,5,,,2000,
13974010,013974,010,83,5,,,,,5,80,,75,50,1,12,,,,,,,,,,,,,,,,,,,5,,,9999998,6000
